log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
72,LTE_RRC_OTA_Packet,2021-11-29 04:01:22.926351,20,14,48,0,118,977,10753,2,4,41,
100,LTE_RRC_OTA_Packet,2021-11-29 04:01:22.965307,20,14,48,0,118,977,10816,2,32,69,
37,LTE_RRC_OTA_Packet,2021-11-29 04:01:22.973201,20,14,48,0,118,977,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.016482,20,14,48,0,118,977,10897,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.018944,20,14,48,1,118,977,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.059092,20,14,48,1,118,977,43732,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.060003,20,14,48,1,118,977,0,9,0,2,
180,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.060003,20,14,48,1,118,977,60117,7,0,149,
33,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.066267,20,14,48,1,118,977,0,9,0,2,
42,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.068036,20,14,48,1,118,977,0,9,0,11,
33,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.088328,20,14,48,2,118,977,60163,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.088328,20,14,48,1,118,977,0,9,0,3,
39,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.101863,20,14,48,1,118,977,60183,7,0,8,
40,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.105063,20,14,48,0,118,977,11040,2,8,9,
33,LTE_RRC_OTA_Packet,2021-11-29 04:01:23.105906,20,14,48,1,118,977,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 04:00:01.514453,20,14,48,0,349,66586,11561,5,0,7,
60,LTE_RRC_OTA_Packet,2021-11-29 04:01:00.295285,20,14,48,1,202,977,0,9,0,29,
38,LTE_RRC_OTA_Packet,2021-11-29 04:01:30.364043,20,14,48,0,118,977,6265,5,0,7,
