log_msg_len,type_id,timestamp,Version,Cell ID,Downlink frequency,Uplink frequency,Downlink bandwidth,Uplink bandwidth,Cell Identity,TAC,Band Indicator,MCC,MNC Digit,MNC,Allowed Access
41,LTE_RRC_Serv_Cell_Info,2021-11-29 04:01:33.303002,3,118,977,18977,15 MHz,15 MHz,7636748,42751,2,310,3,260,0
41,LTE_RRC_Serv_Cell_Info,2021-11-29 03:59:46.932691,3,349,66586,132122,20 MHz,20 MHz,5914882,42751,66,310,3,260,0
41,LTE_RRC_Serv_Cell_Info,2021-11-29 04:02:23.625072,3,118,977,18977,15 MHz,15 MHz,7636748,42751,2,310,3,260,0
41,LTE_RRC_Serv_Cell_Info,2021-11-29 04:00:01.991296,3,202,977,18977,15 MHz,15 MHz,5914892,42751,2,310,3,260,0
41,LTE_RRC_Serv_Cell_Info,2021-11-29 04:01:22.942941,3,118,977,18977,15 MHz,15 MHz,7636748,42751,2,310,3,260,0
