log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major Version,Minor Version,Msg
20,LTE_NAS_EMM_OTA_Outgoing_Packet,2021-11-29 15:27:12.876966,1,9,5,0,
20,LTE_NAS_EMM_OTA_Outgoing_Packet,2021-11-29 15:29:01.682971,1,9,5,0,
20,LTE_NAS_EMM_OTA_Outgoing_Packet,2021-11-29 15:26:21.677027,1,9,5,0,
20,LTE_NAS_EMM_OTA_Outgoing_Packet,2021-11-29 15:28:34.801973,1,9,5,0,
