log_msg_len,type_id,timestamp,Pkt Version,RRC Release Number,Major/minor,Radio Bearer ID,Physical Cell ID,Freq,SysFrameNum/SubFrameNum,PDU Number,SIB Mask in SI,Msg Length,Msg
33,LTE_RRC_OTA_Packet,2021-11-29 15:26:20.369292,20,14,48,1,202,977,50433,7,0,2,
46,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.677027,20,14,48,0,202,977,3369,5,0,15,
37,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.677027,20,14,48,0,202,977,0,8,0,6,
65,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.716337,20,14,48,0,202,977,3432,6,0,34,
38,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.720781,20,14,48,1,202,977,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.752090,20,14,48,1,202,977,36260,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.754089,20,14,48,1,202,977,0,9,0,2,
158,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.754089,20,14,48,1,202,977,52644,7,0,127,
33,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.761501,20,14,48,1,202,977,0,9,0,2,
39,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.770340,20,14,48,1,202,977,0,9,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.775364,20,14,48,2,202,977,52679,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.775828,20,14,48,1,202,977,0,9,0,3,
39,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.810019,20,14,48,1,202,977,52738,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 15:26:21.815185,20,14,48,1,202,977,0,9,0,2,
53,LTE_RRC_OTA_Packet,2021-11-29 15:26:50.640781,20,14,48,1,202,977,0,9,0,22,
38,LTE_RRC_OTA_Packet,2021-11-29 15:26:24.986898,20,14,48,0,202,977,8665,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 15:25:56.856908,20,14,48,0,202,977,12809,5,0,7,
46,LTE_RRC_OTA_Packet,2021-11-29 15:32:27.025186,20,14,48,0,349,66586,14489,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 15:28:46.886404,20,14,48,0,349,66586,6329,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 15:29:21.415937,20,14,48,0,349,66586,12425,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 15:32:02.383758,20,14,48,1,349,66586,56983,7,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.342025,20,14,48,1,349,66586,0,9,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.384260,20,14,48,1,349,66586,46615,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.385365,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.385833,20,14,48,1,349,66586,63000,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.393369,20,14,48,1,349,66586,0,9,0,2,
35,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.431681,20,14,48,1,349,66586,0,9,0,4,
33,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.450052,20,14,48,2,349,66586,63106,7,0,2,
34,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.450052,20,14,48,1,349,66586,0,9,0,3,
39,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.454287,20,14,48,1,349,66586,63111,7,0,8,
33,LTE_RRC_OTA_Packet,2021-11-29 15:28:00.458837,20,14,48,1,349,66586,0,9,0,2,
38,LTE_RRC_OTA_Packet,2021-11-29 15:25:24.857008,20,14,48,0,202,977,10761,5,0,7,
33,LTE_RRC_OTA_Packet,2021-11-29 15:28:56.806845,20,14,48,1,349,66586,54969,7,0,2,
46,LTE_RRC_OTA_Packet,2021-11-29 15:29:53.415765,20,14,48,0,349,66586,14473,5,0,15,
46,LTE_RRC_OTA_Packet,2021-11-29 15:29:06.176318,20,14,48,0,349,66586,4425,5,0,15,
46,LTE_RRC_OTA_Packet,2021-11-29 15:30:11.315620,20,14,48,0,349,66586,10345,5,0,15,
38,LTE_RRC_OTA_Packet,2021-11-29 15:28:02.176378,20,14,48,0,349,66586,329,5,0,7,
38,LTE_RRC_OTA_Packet,2021-11-29 15:32:15.475154,20,14,48,0,349,66586,12393,5,0,7,
34,LTE_RRC_OTA_Packet,2021-11-29 15:30:17.646313,20,14,48,1,349,66586,36857,7,0,3,
33,LTE_RRC_OTA_Packet,2021-11-29 15:30:17.647941,20,14,48,1,349,66586,0,9,0,2,
173,LTE_RRC_OTA_Packet,2021-11-29 15:30:17.647941,20,14,48,1,349,66586,53241,7,0,142,
33,LTE_RRC_OTA_Packet,2021-11-29 15:30:17.655085,20,14,48,1,349,66586,0,9,0,2,
33,LTE_RRC_OTA_Packet,2021-11-29 15:30:17.668096,20,14,48,2,349,66586,53281,7,0,2,
