log_msg_len,type_id,timestamp,Version,Physical Cell ID,Freq,SFN,Number of Antenna,DL BW
23,LTE_RRC_MIB_Packet,2021-11-29 15:27:11.726954,2,349,2100,92,4,20 MHz
23,LTE_RRC_MIB_Packet,2021-11-29 15:27:11.925877,2,349,66586,112,4,20 MHz
