log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:53.069222,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,439,0,-126.0625,-19.375,-97.5,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:36.542757,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,425,0,-126.25,-23.125,-94.0625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:36.714578,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,425,0,-128.4375,-23.25,-94.125,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:04.898396,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-121.25,-21.5625,-90.25,118,0,-119.5,-21.5,-90.25,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:46.912942,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-126.0625,-21.5,-96.4375,118,0,-122.8125,-18.25,-96.4375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:02.027584,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,202,0,-118.75,-11.5625,-99.4375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:41.719019,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-123.375,-18.75,-95.1875,393,0,-125.5625,-22.5625,-95.1875,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:30:41.717940,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-120.375,-21.875,-88.75,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:30:41.918396,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.6875,-22.0625,-96.5625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:56.178958,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-118.4375,-19.3125,-89.25,118,0,-121.25,-24.1875,-89.3125,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:03.318311,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,390,0,-129.8125,-22.375,-99.4375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:08.507900,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-121.375,-18.0625,-95.5,393,0,-122.9375,-19.4375,-95.5625,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:59.512890,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-122.875,-21.8125,-90.0625,393,0,-119.6875,-21.9375,-90.0,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:34:02.888205,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-116.625,-13.4375,-95.4375,393,0,-122.375,-19.125,-95.4375,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:33:10.232633,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-123.3125,-17.5,-98.0,393,0,-127.625,-21.8125,-98.0625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:28.910896,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.1875,-23.5625,-92.5625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:05.767570,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,390,0,-124.5625,-18.75,-98.0,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:31:05.947568,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,390,0,-132.5,-24.0625,-100.6875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:34.112987,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-120.625,-17.375,-95.25,393,0,-124.1875,-19.4375,-95.3125,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:32:10.395214,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,153,0,-126.375,-22.5,-94.8125,,,,,,,,,,
