log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:20.894579,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-128.1875,-21.3125,-95.3125,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:20.896424,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-120.3125,-18.875,-93.1875,393,0,-121.625,-20.6875,-93.1875,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:50.722665,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.6875,-22.875,-93.625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:50.804294,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-119.8125,-16.0,-92.3125,393,0,-123.5,-19.875,-92.3125,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:50.902145,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,439,0,-124.625,-23.875,-90.5625,441,0,-121.5625,-21.9375,-90.5625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:21.294567,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-122.9375,-22.75,-91.125,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:21.296460,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.0,-17.5625,-90.4375,393,0,-120.5,-22.3125,-90.4375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:21.494569,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.125,-21.8125,-94.3125,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:21.496494,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-118.375,-14.9375,-93.5625,393,0,-120.5625,-18.8125,-93.5625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:45.253770,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-123.0625,-22.625,-91.4375,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:02.638875,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-128.375,-22.4375,-96.9375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:30.787091,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-124.375,-21.875,-93.5,279,0,-126.375,-23.75,-93.5,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:30.787091,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-115.5,-15.75,-92.0,393,0,-121.0,-21.25,-91.9375,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:27.454176,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-125.9375,-24.25,-92.625,279,0,-125.375,-23.25,-92.6875,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:27.454176,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-117.75,-15.4375,-90.3125,393,0,-122.5,-22.0625,-90.25,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:34.260582,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-120.375,-22.25,-89.0625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:34.262147,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-116.0625,-14.5625,-93.625,393,0,-124.25,-22.8125,-93.625,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:34.745600,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-114.5625,-20.8125,-83.5,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:34.747030,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-112.9375,-18.3125,-86.875,393,0,-116.125,-21.5,-86.8125,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:13.416744,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,279,0,-122.125,-21.9375,-91.1875,441,0,-120.625,-20.375,-91.25,,,,,
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:13.595336,1,2,,30,32,64,31,4,168,66586,3,FDD,PCell,,93,0,-126.0625,-22.375,-94.4375,441,0,-125.125,-21.625,-94.4375,279,0,-125.125,-21.75,-94.375
248,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:13.595336,1,2,,30,32,64,31,4,168,977,3,FDD,1_SCell,,202,0,-111.375,-10.9375,-91.3125,118,0,-117.625,-18.4375,-91.375,393,0,-121.9375,-22.8125,-91.375
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:26.852713,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-127.3125,-23.5,-93.6875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:26.854545,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,118,0,-117.6875,-14.25,-91.6875,393,0,-124.125,-21.125,-91.6875,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:22.294561,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-119.8125,-20.3125,-90.5,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 19:06:04.923875,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,279,0,-125.375,-20.5625,-95.8125,,,,,,,,,,
