log_msg_len,Subpacket Size,Num RBs,RLCDL Error Count,Num RST,Num Data PDU,Data PDU Bytes,Num Status Rxed,Status Rxed Bytes,Num Dropped PDU,Dropped PDU Bytes,Num SDU,Num SDU Bytes,Num Ctrl PDU,Num t_reorder Start,Num Data PDU Rst,Data PDU Bytes Rst,Num Status Rxed Rst,Status Rxed Bytes Rst,Num Dropped PDU Rst,Dropped PDU Bytes Rst,Num SDU Rst,Num SDU Bytes Rst,Num Ctrl PDU Rst,Num t_reorder Start Rst,Rb Cfg Idx.1,Num RST.1,Num Data PDU.1,Data PDU Bytes.1,Num Status Rxed.1,Status Rxed Bytes.1,Num SDU.1,Num SDU Bytes.1,Num Ctrl PDU.1,Num Data PDU Rst.1,Data PDU Bytes Rst.1,Num Status Rxed Rst.1,Status Rxed Bytes Rst.1,Num SDU Rst.1,Num SDU Bytes Rst.1,Num Ctrl PDU Rst.1,Num RST.2,Num Data PDU.2,Data PDU Bytes.2,Num Status Rxed.2,Status Rxed Bytes.2,Num Retx PDU.2,Retx PDU Bytes.2,Num Dropped PDU.2,Dropped PDU Bytes.2,Num SDU.2,Num SDU Bytes.2,Num Ctrl PDU.2,Num Complete NACK.2,Num Segments NACK.2,Num t_reorder Expired.2,Num t_reorder Start.2,Num Data PDU Rst.2,Data PDU Bytes Rst.2,Num Status Rxed Rst.2,Status Rxed Bytes Rst.2,Num Retx PDU Rst.2,Retx PDU Bytes Rst.2,Num Dropped PDU Rst.2,Dropped PDU Bytes Rst.2,Num SDU Rst.2,Num SDU Bytes Rst.2,Num Ctrl PDU Rst.2,Num Complete NACK Rst.2,Num Segments NACK Rst.2,Num t_reorder Expired Rst.2,Num t_reorder Start Rst.2,Rb Cfg Idx.3,Num RST.3,Num Data PDU.3,Data PDU Bytes.3,Num Status Rxed.3,Status Rxed Bytes.3,Num SDU.3,Num SDU Bytes.3,Num Ctrl PDU.3,Num t_reorder Start.3,Num Data PDU Rst.3,Data PDU Bytes Rst.3,Num Status Rxed Rst.3,Status Rxed Bytes Rst.3,Num SDU Rst.3,Num SDU Bytes Rst.3,Num Ctrl PDU Rst.3,Num t_reorder Start Rst.3,label,Num Data PDU.4,Data PDU Bytes.4,Num SDU.4,Num SDU Bytes.4,Num t_reorder Start.4,Num Data PDU Rst.4,Data PDU Bytes Rst.4,Num SDU Rst.4,Num SDU Bytes Rst.4,Num t_reorder Start Rst.4
1340,1324,5,0,0,17,956,49,98,0,0,15,922,14,0,17,956,49,98,0,0,15,922,14,0,34.0,0.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,0.0,8070.0,6952957.0,757.0,1514.0,0.0,0.0,0.0,0.0,6053.0,6929008.0,669.0,0.0,0.0,0.0,102.0,8070.0,6952957.0,757.0,1514.0,0.0,0.0,0.0,0.0,6053.0,6929008.0,669.0,0.0,0.0,0.0,102.0,5.0,0.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,Dualingo,354.0,14549.0,384.0,13711.0,0.0,354.0,14549.0,384.0,13711.0,0.0
1340,1324,5,0,0,17,956,54,108,0,0,15,922,14,0,17,956,54,108,0,0,15,922,14,0,34.0,0.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,0.0,9156.0,8386397.0,885.0,1770.0,1.0,1774.0,0.0,0.0,7153.0,8358645.0,770.0,0.0,0.0,1.0,120.0,9156.0,8386397.0,885.0,1770.0,1.0,1774.0,0.0,0.0,7153.0,8358645.0,770.0,0.0,0.0,1.0,120.0,5.0,0.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,Dualingo,2188.0,94764.0,2485.0,89731.0,0.0,2188.0,94764.0,2485.0,89731.0,0.0
1340,1324,5,0,0,12,727,39,78,0,0,11,703,10,0,12,727,39,78,0,0,11,703,10,0,34.0,0.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,0.0,7677.0,6515088.0,702.0,1404.0,0.0,0.0,0.0,0.0,5680.0,6492440.0,621.0,0.0,0.0,0.0,97.0,7677.0,6515088.0,702.0,1404.0,0.0,0.0,0.0,0.0,5680.0,6492440.0,621.0,0.0,0.0,0.0,97.0,5.0,0.0,14.0,4064.0,3.0,6.0,11.0,4030.0,6.0,1.0,14.0,4064.0,3.0,6.0,11.0,4030.0,6.0,1.0,Dualingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1340,1324,5,0,0,17,956,55,110,0,0,15,922,14,0,17,956,55,110,0,0,15,922,14,0,34.0,0.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,0.0,9356.0,8657533.0,913.0,1826.0,1.0,1774.0,0.0,0.0,7360.0,8629076.0,791.0,0.0,0.0,1.0,123.0,9356.0,8657533.0,913.0,1826.0,1.0,1774.0,0.0,0.0,7360.0,8629076.0,791.0,0.0,0.0,1.0,123.0,5.0,0.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,Dualingo,2801.0,118523.0,3109.0,112243.0,1.0,2801.0,118523.0,3109.0,112243.0,1.0
1340,1324,5,0,0,17,956,52,104,0,0,15,922,14,0,17,956,52,104,0,0,15,922,14,0,34.0,0.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,0.0,8660.0,7797065.0,832.0,1664.0,0.0,0.0,0.0,0.0,6708.0,7770983.0,728.0,0.0,0.0,0.0,113.0,8660.0,7797065.0,832.0,1664.0,0.0,0.0,0.0,0.0,6708.0,7770983.0,728.0,0.0,0.0,0.0,113.0,5.0,0.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,Dualingo,1468.0,66477.0,1736.0,62944.0,0.0,1468.0,66477.0,1736.0,62944.0,0.0
1340,1324,5,0,0,17,956,51,102,0,0,15,922,14,0,17,956,51,102,0,0,15,922,14,0,34.0,0.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,0.0,8660.0,7797065.0,832.0,1664.0,0.0,0.0,0.0,0.0,6708.0,7770983.0,728.0,0.0,0.0,0.0,113.0,8660.0,7797065.0,832.0,1664.0,0.0,0.0,0.0,0.0,6708.0,7770983.0,728.0,0.0,0.0,0.0,113.0,5.0,0.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,Dualingo,1402.0,64212.0,1670.0,60811.0,0.0,1402.0,64212.0,1670.0,60811.0,0.0
1340,1324,5,0,0,17,956,50,100,0,0,15,922,14,0,17,956,50,100,0,0,15,922,14,0,34.0,0.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,0.0,8280.0,7269878.0,779.0,1558.0,0.0,0.0,0.0,0.0,6288.0,7245139.0,684.0,0.0,0.0,0.0,106.0,8280.0,7269878.0,779.0,1558.0,0.0,0.0,0.0,0.0,6288.0,7245139.0,684.0,0.0,0.0,0.0,106.0,5.0,0.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,Dualingo,655.0,34227.0,893.0,32377.0,0.0,655.0,34227.0,893.0,32377.0,0.0
1340,1324,5,0,0,17,956,49,98,0,0,15,922,14,0,17,956,49,98,0,0,15,922,14,0,34.0,0.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,0.0,8070.0,6952957.0,757.0,1514.0,0.0,0.0,0.0,0.0,6053.0,6929008.0,669.0,0.0,0.0,0.0,102.0,8070.0,6952957.0,757.0,1514.0,0.0,0.0,0.0,0.0,6053.0,6929008.0,669.0,0.0,0.0,0.0,102.0,5.0,0.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,17.0,4986.0,5.0,10.0,14.0,4944.0,8.0,2.0,Dualingo,322.0,12415.0,326.0,11691.0,0.0,322.0,12415.0,326.0,11691.0,0.0
