log_msg_len,type_id,timestamp,Version,EPS bearer type,EPS bearer ID,EPS bearer state,Len,QCI,UL MBR,DL MBR,UL GBR,DL GBR,UL MBR ext,DL MBR ext,UL GBR ext,DL GBR ext
32,LTE_NAS_ESM_State,2021-11-29 16:18:25.017970,1,0,5,2,1,6,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 16:18:25.017970,1,0,6,2,1,5,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 16:23:16.802183,1,0,5,2,1,6,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 16:23:16.802183,1,0,6,2,1,5,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 16:17:58.877884,1,0,5,2,1,6,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 16:17:58.877884,1,0,6,2,1,5,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 16:24:00.085159,1,0,5,2,1,6,0,0,0,0,0,0,0,0
32,LTE_NAS_ESM_State,2021-11-29 16:24:00.085159,1,0,6,2,1,5,0,0,0,0,0,0,0,0
