log_msg_len,type_id,timestamp,Version,Num SubPkt,SubPacket ID,Version,SubPacket Size,Sub Id,Number of samples,Number of padding BSR,Number of regular BSR,Number of periodic BSR,Number of cancel BSR,Grant received,Grant utilized
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 01:37:35.937596,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,2,0,6461,5818
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:45.320264,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,2,2,0,3614,3363
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:45.420272,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,3,1,0,764,646
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:11.672087,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,0,1,0,1520,1365
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:11.772087,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,47,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:11.872090,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,2,1,0,7084,6361
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:12.615275,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,3,1,0,1014,759
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:39.692117,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,105,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:39.814168,1,1,UL Tx Statistics SubPacket,2,20,1,100,1,0,0,0,105,6
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:39.935307,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:06:39.682130,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,1,0,0,1921,1586
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:06:39.781916,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,2,0,0,459,383
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:06:39.883143,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:08:29.686293,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:08:29.883105,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:08:30.018192,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,2,0,14115,13748
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:08:30.118180,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,3,0,0,3510,2745
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:30.838138,1,1,UL Tx Statistics SubPacket,2,20,1,100,2,1,3,0,8159,8129
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:30.938140,1,1,UL Tx Statistics SubPacket,2,20,1,100,8,0,3,0,10893,9333
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:09:31.138139,1,1,UL Tx Statistics SubPacket,2,20,1,100,6,1,2,0,5214,4533
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:02:59.910292,1,1,UL Tx Statistics SubPacket,2,20,1,100,3,3,1,0,2494,2073
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:31.546304,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,0,0,0,0,0
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:31.723104,1,1,UL Tx Statistics SubPacket,2,20,1,100,0,1,0,0,449,449
36,LTE_MAC_UL_Tx_Statistics,2021-11-29 02:07:31.823192,1,1,UL Tx Statistics SubPacket,2,20,1,100,4,1,3,0,16506,15059
