log_msg_len,type_id,timestamp,Version,Serving Cell Index,E-ARFCN,Serving Physical Cell ID,Sub-frame Number,RSRP(dBm),RSRQ(dB),Number of Neighbor Cells,Number of Detected Cells,Neighbor Cells,Physical Cell ID,RSRP(dBm),RSRQ(dB),Physical Cell ID,RSRP(dBm),RSRQ(dB),Detected Cells
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:12.745299,4,PCell,66586,349,3010,-115.6875,-14.0625,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:12.750481,4,PCell,66586,349,3015,-115.8125,-13.6875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:13.065328,4,PCell,66586,349,3330,-115.8125,-13.6875,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:13.070358,4,PCell,66586,349,3335,-116.0,-13.375,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:13.385333,4,PCell,66586,349,3650,-116.0,-13.375,0,0,,,,,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:13.406739,4,1_SCell,977,202,3671,-115.625,-12.6875,2,0,,393,-122.8125,-19.8125,118,-121.5,-18.5,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:13.410530,4,PCell,66586,349,3675,-116.0,-12.5,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:13.705324,4,PCell,66586,349,3970,-116.0,-12.5,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:25:13.723839,4,PCell,66586,349,3988,-116.0625,-11.9375,0,0,,,,,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:55.830164,4,PCell,66586,349,8014,-114.1875,-13.375,1,0,,441,-126.625,-22.1875,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:37.404183,4,1_SCell,977,202,10068,-115.625,-14.4375,1,0,,118,-122.1875,-18.0,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:37.405785,4,PCell,66586,349,10070,-116.4375,-13.4375,2,0,,441,-126.5,-22.375,279,-126.75,-22.6875,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:39.512615,4,PCell,66586,349,3376,-115.25,-14.0625,1,0,,441,-125.5625,-19.75,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:39.750489,4,PCell,66586,349,3614,-115.125,-13.0625,1,0,,441,-124.375,-21.375,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:48.390449,4,PCell,66586,349,2014,-113.0,-12.8125,1,0,,439,-125.25,-22.5625,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:48.392557,4,1_SCell,977,202,2016,-115.4375,-15.125,2,0,,118,-122.6875,-16.5,393,-124.1875,-19.8125,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:48.458873,4,PCell,66586,349,2083,-113.375,-12.8125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:48.586340,4,PCell,66586,349,2210,-113.9375,-12.8125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:21.225656,4,PCell,66586,349,2690,-115.4375,-12.3125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:21.236919,4,PCell,66586,349,2702,-115.4375,-12.3125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:21.545691,4,PCell,66586,349,3010,-115.4375,-12.3125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:21.647991,4,PCell,66586,349,3113,-115.4375,-12.3125,0,0,,,,,,,,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:21.705820,4,PCell,66586,349,3170,-115.4375,-12.3125,0,0,,,,,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:21.724013,4,1_SCell,977,202,3188,-117.625,-14.25,1,0,,393,-124.8125,-20.3125,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:21.877947,4,PCell,66586,349,3342,-115.0625,-14.0,1,0,,441,-125.5,-20.9375,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:22.230082,4,PCell,66586,349,3694,-114.8125,-11.0,1,0,,441,-125.0625,-19.9375,,,,
68,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:42.150213,4,PCell,66586,349,4574,-115.125,-13.4375,1,1,,439,-126.0625,-20.875,,439,1212,514748457657
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:42.830212,4,PCell,66586,349,5254,-115.0625,-14.0,1,0,,439,-128.375,-23.1875,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:42.830212,4,1_SCell,977,202,5254,-118.625,-18.1875,1,0,,393,-125.0,-20.6875,,,,
76,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:10.666953,4,1_SCell,977,202,2371,-114.6875,-14.5625,2,0,,393,-120.8125,-21.5,118,-124.125,-22.25,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:10.782993,4,PCell,66586,349,2487,-114.25,-13.4375,1,0,,441,-123.4375,-20.5625,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:10.865080,4,1_SCell,977,202,2569,-116.125,-16.875,2,0,,393,-121.625,-21.875,118,-124.875,-21.0625,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:35.791793,4,PCell,66586,349,7016,-116.125,-13.4375,1,0,,441,-128.9375,-22.6875,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:35.990002,4,PCell,66586,349,7214,-115.875,-14.1875,1,0,,441,-127.3125,-22.1875,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:36.031631,4,1_SCell,977,202,7256,-117.9375,-15.1875,2,0,,393,-126.25,-20.625,118,-123.8125,-19.9375,
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:36.058111,4,PCell,66586,349,7283,-115.75,-14.5625,0,0,,,,,,,,
