log_msg_len,type_id,timestamp,Version,Serving Cell Index,E-ARFCN,Serving Physical Cell ID,Sub-frame Number,RSRP(dBm),RSRQ(dB),Number of Neighbor Cells,Number of Detected Cells,Neighbor Cells,Physical Cell ID,RSRP(dBm),RSRQ(dB),Physical Cell ID,RSRP(dBm),RSRQ(dB),Detected Cells
40,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:24:19.818174,4,PCell,66586,349,1283,-115.625,-11.125,0,0,,,,,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:50.325204,4,PCell,66586,349,3949,-114.0,-13.875,2,0,,441,-124.9375,-21.5,279,-125.5625,-22.1875,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:50.325204,4,1_SCell,977,202,3949,-117.125,-15.6875,2,0,,118,-122.0625,-17.75,393,-124.625,-20.25,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:50.525201,4,PCell,66586,349,4149,-115.3125,-14.75,2,0,,441,-126.9375,-21.4375,279,-128.0,-22.0,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:22:50.525201,4,1_SCell,977,202,4149,-117.6875,-16.75,2,0,,118,-122.25,-18.25,393,-125.4375,-21.4375,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:29.510262,4,PCell,66586,349,2174,-115.9375,-13.4375,1,0,,441,-125.0625,-21.6875,,,,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:29.510262,4,1_SCell,977,202,2174,-118.5,-17.8125,1,0,,393,-122.75,-21.0,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:37.027076,4,PCell,66586,349,9691,-114.9375,-12.1875,2,0,,441,-126.25,-21.875,279,-125.0,-21.875,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:37.027076,4,1_SCell,977,202,9691,-115.375,-13.6875,2,0,,393,-120.875,-19.1875,118,-122.6875,-16.875,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:37.204169,4,1_SCell,977,202,9868,-114.875,-14.25,1,0,,118,-122.375,-16.75,,,,
64,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:37.205756,4,PCell,66586,349,9870,-115.0625,-12.375,2,0,,279,-125.4375,-22.5,441,-125.375,-22.125,
52,LTE_PHY_Connected_Mode_Intra_Freq_Meas,2021-11-29 20:23:30.837097,4,PCell,66586,349,3501,-115.5625,-14.0625,1,0,,441,-124.875,-22.625,,,,
