log_msg_len,type_id,timestamp,Version,Number of SubPackets,SubPackets,SubPacket ID,Version,SubPacket Size,SubPacket ID,Version,SubPacket Size,E-ARFCN,Num Cells,Deplexing Mode,Serving Cell Index,Neighbor Cells,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI,Physical Cell ID,FTL Cumulative Freq Offset,Inst Measured RSRP,Inst Measured RSRQ,Inst Measured RSSI
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:29.510262,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.125,-22.25,-93.875,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:29.510262,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,393,0,-122.25,-20.875,-93.625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:37.027076,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,441,0,-126.25,-21.875,-93.0625,279,0,-124.9375,-21.875,-93.0625,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:37.027076,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-120.875,-19.125,-93.9375,118,0,-122.625,-16.75,-94.0,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:37.204169,1,2,,30,32,32,31,4,64,977,1,FDD,1_SCell,,118,0,-122.25,-16.6875,-94.5625,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:37.205756,1,2,,30,32,48,31,4,116,66586,2,FDD,PCell,,279,0,-125.6875,-22.8125,-92.9375,441,0,-124.9375,-22.1875,-92.9375,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:30.837097,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-124.875,-22.625,-93.1875,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:30.843241,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,202,0,-123.6875,-15.3125,-98.125,393,0,-125.5625,-19.8125,-98.0,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:31.030286,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.375,-21.4375,-95.875,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:31.990274,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-125.375,-21.6875,-94.625,,,,,,,,,,
112,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:32.415280,1,2,,30,32,32,31,4,64,66586,1,FDD,PCell,,441,0,-126.75,-21.75,-95.9375,,,,,,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:23:32.475266,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,202,0,-120.625,-15.0625,-97.8125,393,0,-123.9375,-18.4375,-97.6875,,,,,
180,LTE_PHY_Connected_Mode_Neighbor_Measurement,2021-11-29 20:25:34.510912,1,2,,30,32,48,31,4,116,977,2,FDD,1_SCell,,393,0,-128.1875,-22.5625,-96.125,118,0,-126.4375,-22.4375,-96.1875,,,,,
