log_msg_len,type_id,timestamp,Version,Num Subpkts,Subpacket ID,Subpacket Version,Subpacket Size,SRB Cipher Algorithm,DRB Cipher Algorithm,Num PDUs,PDCPDL CIPH DATA,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN,Cfg Idx,Mode,SN Length,Bearer ID,Valid PDU,PDU Size,Logged Bytes,Sub FN,Sys FN,SN
72,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:58:46.589461,1,1,195,24,56,LTE AES,LTE AES,1,,33,AM,5 bit,0,Yes,17,3,4,587,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:58:41.939432,1,1,195,24,60,LTE AES,LTE AES,1,,4,AM,12 bit,3,Yes,74,4,8,123,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:57:34.039002,1,1,195,24,76,LTE AES,LTE AES,2,,4,AM,12 bit,3,Yes,74,4,5,497,235,4,AM,12 bit,3,Yes,300,4,2,498,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:57:08.656906,1,1,195,24,56,None,None,1,,33,AM,5 bit,0,Yes,8,3,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:57:08.657885,1,1,195,24,56,LTE AES,LTE AES,1,,33,AM,5 bit,0,Yes,147,3,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:57:08.707946,1,1,195,24,108,LTE AES,LTE AES,4,,34,AM,5 bit,1,Yes,7,3,2,15,0,33,AM,5 bit,0,Yes,13,3,4,16,2,4,AM,12 bit,3,Yes,300,4,1,17,0,4,AM,12 bit,3,Yes,300,4,1,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:57:08.758068,1,1,195,24,60,LTE AES,LTE AES,1,,4,AM,12 bit,3,Yes,86,4,7,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:13.889181,1,1,195,24,108,LTE AES,LTE AES,4,,4,AM,12 bit,3,Yes,147,4,7,674,62,4,AM,12 bit,3,Yes,130,4,7,674,63,4,AM,12 bit,3,Yes,123,4,8,676,64,4,AM,12 bit,3,Yes,106,4,8,678,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:13.939204,1,1,195,24,160,LTE AES,LTE AES,7,,4,AM,12 bit,3,Yes,74,4,7,679,66,4,AM,12 bit,3,Yes,82,4,5,682,67,4,AM,12 bit,3,Yes,741,4,1,684,68,4,AM,12 bit,3,Yes,62,4,2,684,69,4,AM,12 bit,3,Yes,1422,4,3,684,70,4,AM,12 bit,3,Yes,1422,4,3,684,71,4,AM,12 bit,3,Yes,184,4,3,684,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:42.689183,1,1,195,24,92,LTE AES,LTE AES,3,,4,AM,12 bit,3,Yes,659,4,4,482,138,4,AM,12 bit,3,Yes,82,4,5,482,139,4,AM,12 bit,3,Yes,74,4,3,487,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:42.739035,1,1,195,24,76,LTE AES,LTE AES,2,,4,AM,12 bit,3,Yes,220,4,4,487,141,4,AM,12 bit,3,Yes,74,4,3,492,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:42.789183,1,1,195,24,144,LTE AES,LTE AES,6,,4,AM,12 bit,3,Yes,74,4,5,492,143,4,AM,12 bit,3,Yes,151,4,5,492,144,4,AM,12 bit,3,Yes,74,4,6,492,145,4,AM,12 bit,3,Yes,74,4,8,492,146,4,AM,12 bit,3,Yes,659,4,3,494,147,4,AM,12 bit,3,Yes,74,4,3,497,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:42.839178,1,1,195,24,176,LTE AES,LTE AES,8,,4,AM,12 bit,3,Yes,74,4,6,497,149,4,AM,12 bit,3,Yes,74,4,0,498,150,4,AM,12 bit,3,Yes,74,4,1,498,151,4,AM,12 bit,3,Yes,1204,4,3,498,152,4,AM,12 bit,3,Yes,116,4,6,500,153,4,AM,12 bit,3,Yes,116,4,6,500,154,4,AM,12 bit,3,Yes,74,4,2,501,155,4,AM,12 bit,3,Yes,1204,4,8,501,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:42.889111,1,1,195,24,60,LTE AES,LTE AES,1,,4,AM,12 bit,3,Yes,266,4,3,503,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:11.789111,1,1,195,24,76,LTE AES,LTE AES,2,,4,AM,12 bit,3,Yes,1174,4,9,464,16,4,AM,12 bit,3,Yes,108,4,0,465,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:11.839112,1,1,195,24,60,LTE AES,LTE AES,1,,4,AM,12 bit,3,Yes,125,4,9,473,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:11.889175,1,1,195,24,60,LTE AES,LTE AES,1,,4,AM,12 bit,3,Yes,113,4,8,476,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 14:56:11.939108,1,1,195,24,76,LTE AES,LTE AES,2,,4,AM,12 bit,3,Yes,177,4,9,479,20,4,AM,12 bit,3,Yes,165,4,6,483,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 15:02:16.726898,1,1,195,24,56,None,None,1,,33,AM,5 bit,0,Yes,8,3,3,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 15:02:16.733332,1,1,195,24,56,LTE AES,LTE AES,1,,33,AM,5 bit,0,Yes,132,3,3,99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,LTE_PDCP_DL_Cipher_Data_PDU,2021-11-29 15:02:16.794109,1,1,195,24,140,LTE AES,LTE AES,6,,34,AM,5 bit,1,Yes,7,3,4,101,0,4,AM,12 bit,3,Yes,147,4,3,103,0,4,AM,12 bit,3,Yes,62,4,3,103,1,4,AM,12 bit,3,Yes,62,4,3,103,2,4,AM,12 bit,3,Yes,62,4,3,103,3,33,AM,5 bit,0,Yes,13,3,2,105,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
