log_msg_len,type_id,timestamp,Version,Number of Records,Records,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status,System Frame Number,Sub-frame Number,Out of Sync BLER (%),In Sync BLER (%),Out of Sync Count,In Sync Count,T310 Timer Status
256,LTE_PHY_RLM_Report,2021-11-29 14:58:46.667773,1,20,,578,2,0.0,0.0,0,0,0,579,4,0.0,0.0,0,0,0,580,2,0.0,0.0,0,0,0,581,2,0.0,0.0,0,0,0,582,2,0.0,0.0,0,0,0,583,4,0.0,0.0,0,0,0,584,2,0.0,0.0,0,0,0,585,2,0.0,0.0,0,0,0,586,2,0.0,0.0,0,0,0,587,4,0.0,0.0,0,0,0,588,2,0.0,0.0,0,0,0,589,2,0.0,0.0,0,0,0,590,2,0.0,0.0,0,0,0,591,2,0.0,0.0,0,0,0,592,2,0.0,0.0,0,0,0,593,2,0.0,0.0,0,0,0,594,2,0.0,0.0,0,0,0,595,2,0.0,0.0,0,0,0,596,2,0.0,0.0,0,0,0,597,2,0.0,0.0,0,0,0
76,LTE_PHY_RLM_Report,2021-11-29 14:58:46.871407,1,5,,598,2,0.0,0.0,0,0,0,599,2,0.0,0.0,0,0,0,601,6,0.0,0.0,0,0,0,602,2,0.0,0.0,0,0,0,603,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,LTE_PHY_RLM_Report,2021-11-29 14:58:40.871331,1,13,,922,3,0.0,0.0,0,0,0,923,3,0.0,0.0,0,0,0,931,8,0.0,0.0,0,0,0,987,8,0.0,0.0,0,0,0,989,7,0.0,0.0,0,0,0,990,7,0.0,0.0,0,0,0,991,7,0.0,0.0,0,0,0,992,7,0.0,0.0,0,0,0,993,7,0.0,0.0,0,0,0,994,7,0.0,0.0,0,0,0,995,7,0.0,0.0,0,0,0,996,7,0.0,0.0,0,0,0,997,7,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 14:57:53.417967,1,20,,303,3,0.0,0.0,0,0,0,304,3,0.0,0.0,0,0,0,305,3,0.0,0.0,0,0,0,306,3,0.0,0.0,0,0,0,307,3,0.0,0.0,0,0,0,308,3,0.0,0.0,0,0,0,309,3,0.0,0.0,0,0,0,310,3,0.0,0.0,0,0,0,311,3,0.0,0.0,0,0,0,312,3,0.0,0.0,0,0,0,382,8,0.0,0.0,0,0,0,384,2,0.0,0.0,0,0,0,385,2,0.0,0.0,0,0,0,386,2,0.0,0.0,0,0,0,387,2,0.0,0.0,0,0,0,388,2,0.0,0.0,0,0,0,389,2,0.0,0.0,0,0,0,390,2,0.0,0.0,0,0,0,391,2,0.0,0.0,0,0,0,392,2,0.0,0.0,0,0,0
220,LTE_PHY_RLM_Report,2021-11-29 14:57:54.871395,1,17,,504,3,0.0,0.0,0,0,0,505,3,0.0,0.0,0,0,0,506,3,0.0,0.0,0,0,0,507,3,0.0,0.0,0,0,0,508,3,0.0,0.0,0,0,0,509,3,0.0,0.0,0,0,0,510,3,0.0,0.0,0,0,0,518,8,0.0,0.0,0,0,0,520,3,0.0,0.0,0,0,0,521,3,0.0,0.0,0,0,0,522,3,0.0,0.0,0,0,0,523,3,0.0,0.0,0,0,0,524,3,0.0,0.0,0,0,0,525,3,0.0,0.0,0,0,0,526,3,0.0,0.0,0,0,0,527,3,0.0,0.0,0,0,0,528,3,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 14:57:33.958998,1,20,,473,3,0.0,0.0,0,0,0,474,3,0.0,0.0,0,0,0,475,3,0.0,0.0,0,0,0,476,3,0.0,0.0,0,0,0,479,3,0.0,0.0,0,0,0,480,3,0.0,0.0,0,0,0,481,3,0.0,0.0,0,0,0,482,3,0.0,0.0,0,0,0,483,3,0.0,0.0,0,0,0,484,3,0.0,0.0,0,0,0,485,3,0.0,0.0,0,0,0,486,3,0.0,0.0,0,0,0,487,3,0.0,0.0,0,0,0,488,3,0.0,0.0,0,0,0,489,3,0.0,0.0,0,0,0,490,3,0.0,0.0,0,0,0,491,3,0.0,0.0,0,0,0,492,3,0.0,0.0,0,0,0,493,3,0.0,0.0,0,0,0,494,3,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 14:56:22.363306,1,20,,451,4,0.0,0.0,0,0,0,452,4,0.0,0.0,0,0,0,453,4,0.0,0.0,0,0,0,454,4,0.0,0.0,0,0,0,455,4,0.0,0.0,0,0,0,456,4,0.0,0.0,0,0,0,457,4,0.0,0.0,0,0,0,458,4,0.0,0.0,0,0,0,459,4,0.0,0.0,0,0,0,460,4,0.0,0.0,0,0,0,461,4,0.0,0.0,0,0,0,462,4,0.0,0.0,0,0,0,463,4,0.0,0.0,0,0,0,496,2,0.0,0.0,0,0,0,497,7,0.0,0.0,0,0,0,498,7,0.0,0.0,0,0,0,499,7,0.0,0.0,0,0,0,500,7,0.0,0.0,0,0,0,501,7,0.0,0.0,0,0,0,502,7,0.0,0.0,0,0,0
64,LTE_PHY_RLM_Report,2021-11-29 14:56:22.471324,1,4,,503,7,0.0,0.0,0,0,0,504,7,0.0,0.0,0,0,0,505,7,0.0,0.0,0,0,0,512,7,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LTE_PHY_RLM_Report,2021-11-29 14:56:13.843342,1,20,,633,7,0.0,0.0,0,0,0,634,7,0.0,0.0,0,0,0,635,7,0.0,0.0,0,0,0,636,7,0.0,0.0,0,0,0,637,7,0.0,0.0,0,0,0,638,7,0.0,0.0,0,0,0,639,7,0.0,0.0,0,0,0,640,7,0.0,0.0,0,0,0,641,7,0.0,0.0,0,0,0,648,7,0.0,0.0,0,0,0,649,7,0.0,0.0,0,0,0,650,7,0.0,0.0,0,0,0,651,7,0.0,0.0,0,0,0,652,7,0.0,0.0,0,0,0,653,7,0.0,0.0,0,0,0,654,7,0.0,0.0,0,0,0,655,7,0.0,0.0,0,0,0,664,2,0.0,0.0,0,0,0,673,7,0.0,0.0,0,0,0,674,7,0.0,0.0,0,0,0
256,LTE_PHY_RLM_Report,2021-11-29 14:58:20.329686,1,20,,1009,8,0.0,0.0,0,0,0,1010,8,0.0,0.0,0,0,0,1011,8,0.0,0.0,0,0,0,1012,8,0.0,0.0,0,0,0,1013,8,0.0,0.0,0,0,0,1014,8,0.0,0.0,0,0,0,1016,4,0.0,0.0,0,0,0,1017,4,0.0,0.0,0,0,0,1018,4,0.0,0.0,0,0,0,1019,4,0.0,0.0,0,0,0,1020,4,0.0,0.0,0,0,0,1021,4,0.0,0.0,0,0,0,1022,4,0.0,0.0,0,0,0,1023,4,0.0,0.0,0,0,0,0,4,0.0,0.0,0,0,0,1,4,0.0,0.0,0,0,0,8,4,0.0,0.0,0,0,0,9,4,0.0,0.0,0,0,0,10,4,0.0,0.0,0,0,0,11,4,0.0,0.0,0,0,0
76,LTE_PHY_RLM_Report,2021-11-29 14:58:20.471406,1,5,,12,4,0.0,0.0,0,0,0,13,4,0.0,0.0,0,0,0,14,4,0.0,0.0,0,0,0,15,4,0.0,0.0,0,0,0,23,9,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,LTE_PHY_RLM_Report,2021-11-29 14:57:10.471664,1,3,,116,2,0.0,0.0,0,0,0,148,2,0.0,0.0,0,0,0,180,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,LTE_PHY_RLM_Report,2021-11-29 14:57:56.071398,1,17,,574,8,0.0,0.0,0,0,0,606,8,0.0,0.0,0,0,0,638,8,0.0,0.0,0,0,0,640,2,0.0,0.0,0,0,0,641,2,0.0,0.0,0,0,0,642,2,0.0,0.0,0,0,0,643,2,0.0,0.0,0,0,0,644,2,0.0,0.0,0,0,0,645,2,0.0,0.0,0,0,0,646,2,0.0,0.0,0,0,0,647,2,0.0,0.0,0,0,0,648,2,0.0,0.0,0,0,0,650,6,0.0,0.0,0,0,0,651,2,0.0,0.0,0,0,0,652,2,0.0,0.0,0,0,0,653,2,0.0,0.0,0,0,0,654,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,
232,LTE_PHY_RLM_Report,2021-11-29 14:56:42.871397,1,18,,453,7,0.0,0.0,0,0,0,454,7,0.0,0.0,0,0,0,455,7,0.0,0.0,0,0,0,456,7,0.0,0.0,0,0,0,457,7,0.0,0.0,0,0,0,462,1,0.0,0.0,0,0,0,462,7,0.0,0.0,0,0,0,463,7,0.0,0.0,0,0,0,496,2,0.0,0.0,0,0,0,497,2,0.0,0.0,0,0,0,498,2,0.0,0.0,0,0,0,499,2,0.0,0.0,0,0,0,500,2,0.0,0.0,0,0,0,501,2,0.0,0.0,0,0,0,502,2,0.0,0.0,0,0,0,503,2,0.0,0.0,0,0,0,504,2,0.0,0.0,0,0,0,505,2,0.0,0.0,0,0,0,,,,,,,,,,,,,,
